"index";"seat_id";"show_id";"mode"
0;0;0;""
1;1;0;""
2;2;0;""
3;3;0;""
4;4;0;""
5;5;0;""
6;6;0;""
7;7;0;""
8;8;0;""
9;9;0;""
10;10;0;""
11;11;0;""
12;12;0;""
13;13;0;""
14;14;0;""
15;15;0;""
16;16;0;""
17;17;0;""
18;18;0;""
19;19;0;""
20;20;0;""
21;21;0;""
22;22;0;""
23;23;0;""
24;24;0;""
25;25;0;""
26;26;0;""
27;27;0;""
28;28;0;""
29;29;0;""
30;30;0;""
31;31;0;""
32;32;0;""
33;33;0;""
34;34;0;""
35;35;0;""
36;36;0;""
37;37;0;""
38;38;0;""
39;39;0;""
40;40;0;""
41;41;0;""
42;42;0;""
43;43;0;""
44;44;0;""
45;45;0;""
46;46;0;""
47;47;0;""
48;48;0;""
49;49;0;""
50;50;0;""
51;51;0;""
52;52;0;""
53;53;0;""
54;54;0;""
55;55;0;""
56;56;0;""
57;57;0;""
58;58;0;""
59;59;0;""
60;60;0;""
61;61;0;""
62;62;0;""
63;63;0;""
64;64;0;""
65;65;0;""
66;66;0;""
67;67;0;""
68;68;0;""
69;69;0;""
70;70;0;""
71;71;0;""
72;72;0;""
73;73;0;""
74;74;0;""
75;75;0;""
76;76;0;""
77;77;0;""
78;78;0;""
79;79;0;""
80;80;0;""
81;81;0;""
82;82;0;""
83;83;0;""
84;84;0;""
85;85;0;""
86;86;0;""
87;87;0;""
88;88;0;""
89;89;0;""
90;90;0;""
91;91;0;""
92;92;0;""
93;93;0;""
94;94;0;""
95;95;0;""
96;96;0;""
97;97;0;""
98;0;1;""
99;1;1;""
100;2;1;""
101;3;1;""
102;4;1;""
103;5;1;""
104;6;1;""
105;7;1;""
106;8;1;""
107;9;1;""
108;10;1;""
109;11;1;""
110;12;1;""
111;13;1;""
112;14;1;""
113;15;1;""
114;16;1;""
115;17;1;""
116;18;1;""
117;19;1;""
118;20;1;""
119;21;1;""
120;22;1;""
121;23;1;""
122;24;1;""
123;25;1;""
124;26;1;""
125;27;1;""
126;28;1;""
127;29;1;""
128;30;1;""
129;31;1;""
130;32;1;""
131;33;1;""
132;34;1;""
133;35;1;""
134;36;1;""
135;37;1;""
136;38;1;""
137;39;1;""
138;40;1;""
139;41;1;""
140;42;1;""
141;43;1;""
142;44;1;""
143;45;1;""
144;46;1;""
145;47;1;""
146;48;1;""
147;49;1;""
148;50;1;""
149;51;1;""
150;52;1;""
151;53;1;""
152;54;1;""
153;55;1;""
154;56;1;""
155;57;1;""
156;58;1;""
157;59;1;""
158;60;1;""
159;61;1;""
160;62;1;""
161;63;1;""
162;64;1;""
163;65;1;""
164;66;1;""
165;67;1;""
166;68;1;""
167;69;1;""
168;70;1;""
169;71;1;""
170;72;1;""
171;73;1;""
172;74;1;""
173;75;1;""
174;76;1;""
175;77;1;""
176;78;1;""
177;79;1;""
178;80;1;""
179;81;1;""
180;82;1;""
181;83;1;""
182;84;1;""
183;85;1;""
184;86;1;""
185;87;1;""
186;88;1;""
187;89;1;""
188;90;1;""
189;91;1;""
190;92;1;""
191;93;1;""
192;94;1;""
193;95;1;""
194;96;1;""
195;97;1;""
196;0;2;""
197;1;2;""
198;2;2;""
199;3;2;""
200;4;2;""
201;5;2;""
202;6;2;""
203;7;2;""
204;8;2;""
205;9;2;""
206;10;2;""
207;11;2;""
208;12;2;""
209;13;2;""
210;14;2;""
211;15;2;""
212;16;2;""
213;17;2;""
214;18;2;""
215;19;2;""
216;20;2;""
217;21;2;""
218;22;2;""
219;23;2;""
220;24;2;""
221;25;2;""
222;26;2;""
223;27;2;""
224;28;2;""
225;29;2;""
226;30;2;""
227;31;2;""
228;32;2;""
229;33;2;""
230;34;2;""
231;35;2;""
232;36;2;""
233;37;2;""
234;38;2;""
235;39;2;""
236;40;2;""
237;41;2;""
238;42;2;""
239;43;2;""
240;44;2;""
241;45;2;""
242;46;2;""
243;47;2;""
244;48;2;""
245;49;2;""
246;50;2;""
247;51;2;""
248;52;2;""
249;53;2;""
250;54;2;""
251;55;2;""
252;56;2;""
253;57;2;""
254;58;2;""
255;59;2;""
256;60;2;""
257;61;2;""
258;62;2;""
259;63;2;""
260;64;2;""
261;65;2;""
262;66;2;""
263;67;2;""
264;68;2;""
265;69;2;""
266;70;2;""
267;71;2;""
268;72;2;""
269;73;2;""
270;74;2;""
271;75;2;""
272;76;2;""
273;77;2;""
274;78;2;""
275;79;2;""
276;80;2;""
277;81;2;""
278;82;2;""
279;83;2;""
280;84;2;""
281;85;2;""
282;86;2;""
283;87;2;""
284;88;2;""
285;89;2;""
286;90;2;""
287;91;2;""
288;92;2;""
289;93;2;""
290;94;2;""
291;95;2;""
292;96;2;""
293;97;2;""
294;0;3;""
295;1;3;""
296;2;3;""
297;3;3;""
298;4;3;""
299;5;3;""
300;6;3;""
301;7;3;""
302;8;3;""
303;9;3;""
304;10;3;""
305;11;3;""
306;12;3;""
307;13;3;""
308;14;3;""
309;15;3;""
310;16;3;""
311;17;3;""
312;18;3;""
313;19;3;""
314;20;3;""
315;21;3;""
316;22;3;""
317;23;3;""
318;24;3;""
319;25;3;""
320;26;3;""
321;27;3;""
322;28;3;""
323;29;3;""
324;30;3;""
325;31;3;""
326;32;3;""
327;33;3;""
328;34;3;""
329;35;3;""
330;36;3;""
331;37;3;""
332;38;3;""
333;39;3;""
334;40;3;""
335;41;3;""
336;42;3;""
337;43;3;""
338;44;3;""
339;45;3;""
340;46;3;""
341;47;3;""
342;48;3;""
343;49;3;""
344;50;3;""
345;51;3;""
346;52;3;""
347;53;3;""
348;54;3;""
349;55;3;""
350;56;3;""
351;57;3;""
352;58;3;""
353;59;3;""
354;60;3;""
355;61;3;""
356;62;3;""
357;63;3;""
358;64;3;""
359;65;3;""
360;66;3;""
361;67;3;""
362;68;3;""
363;69;3;""
364;70;3;""
365;71;3;""
366;72;3;""
367;73;3;""
368;74;3;""
369;75;3;""
370;76;3;""
371;77;3;""
372;78;3;""
373;79;3;""
374;80;3;""
375;81;3;""
376;82;3;""
377;83;3;""
378;84;3;""
379;85;3;""
380;86;3;""
381;87;3;""
382;88;3;""
383;89;3;""
384;90;3;""
385;91;3;""
386;92;3;""
387;93;3;""
388;94;3;""
389;95;3;""
390;96;3;""
391;97;3;""
392;0;4;""
393;1;4;""
394;2;4;""
395;3;4;""
396;4;4;""
397;5;4;""
398;6;4;""
399;7;4;""
400;8;4;""
401;9;4;""
402;10;4;""
403;11;4;""
404;12;4;""
405;13;4;""
406;14;4;""
407;15;4;""
408;16;4;""
409;17;4;""
410;18;4;""
411;19;4;""
412;20;4;""
413;21;4;""
414;22;4;""
415;23;4;""
416;24;4;""
417;25;4;""
418;26;4;""
419;27;4;""
420;28;4;""
421;29;4;""
422;30;4;""
423;31;4;""
424;32;4;""
425;33;4;""
426;34;4;""
427;35;4;""
428;36;4;""
429;37;4;""
430;38;4;""
431;39;4;""
432;40;4;""
433;41;4;""
434;42;4;""
435;43;4;""
436;44;4;""
437;45;4;""
438;46;4;""
439;47;4;""
440;48;4;""
441;49;4;""
442;50;4;""
443;51;4;""
444;52;4;""
445;53;4;""
446;54;4;""
447;55;4;""
448;56;4;""
449;57;4;""
450;58;4;""
451;59;4;""
452;60;4;""
453;61;4;""
454;62;4;""
455;63;4;""
456;64;4;""
457;65;4;""
458;66;4;""
459;67;4;""
460;68;4;""
461;69;4;""
462;70;4;""
463;71;4;""
464;72;4;""
465;73;4;""
466;74;4;""
467;75;4;""
468;76;4;""
469;77;4;""
470;78;4;""
471;79;4;""
472;80;4;""
473;81;4;""
474;82;4;""
475;83;4;""
476;84;4;""
477;85;4;""
